financial_year,mine,mine_type,saleable_production_tonnes
FY2024,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,12868150
FY2025,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,11673067
FY2010,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2011,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2012,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2013,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2014,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2015,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2016,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2017,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2018,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2019,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2020,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2021,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2022,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2023,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2024,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2025,Goonyella Riverside And Broadmeadow Mine - Underground,Underground,0
FY2010,Gregory Crinum Mine - Open Cut,Open Cut,4795942
FY2011,Gregory Crinum Mine - Open Cut,Open Cut,5329470
FY2012,Gregory Crinum Mine - Open Cut,Open Cut,2798593
FY2013,Gregory Crinum Mine - Open Cut,Open Cut,1668666
FY2014,Gregory Crinum Mine - Open Cut,Open Cut,0
FY2015,Gregory Crinum Mine - Open Cut,Open Cut,0
FY2016,Gregory Crinum Mine - Open Cut,Open Cut,0
FY2017,Gregory Crinum Mine - Open Cut,Open Cut,0
FY2018,Gregory Crinum Mine - Open Cut,Open Cut,0
FY2019,Gregory Crinum Mine - Open Cut,Open Cut,0
FY2020,Gregory Crinum Mine - Open Cut,Open Cut,1008713
FY2021,Gregory Crinum Mine - Open Cut,Open Cut,2073475
FY2022,Gregory Crinum Mine - Open Cut,Open Cut,1777116
FY2023,Gregory Crinum Mine - Open Cut,Open Cut,1380782
FY2024,Gregory Crinum Mine - Open Cut,Open Cut,1631429
